prepositions,pronouns
board,I
about,we
above,you
across,he
after,she
against,it
along,they
amid,me
among,us
anti,her
around,him
as,it
at,them
before,mine
behind,ours
below,yours
beneath,hers
beside,his
besides,theirs
between,my
beyond,our
but,your
by,her
concerning,his
considering,their
despite,myself
down,yourself
during,herself
except,himself
excepting,itself
excluding,ourselves
following,yourselves
for,themselves
from,myself
in,yourself
inside,herself
into,himself
like,itself
minus,ourselves
near,yourselves
of,themselves
off,all
on,another
onto,any
opposite,anybody
outside,anyone
over,anything
past,both
per,each
plus,either
regarding,everybody
round,everyone
save,everything
since,few
than,many
through,most
to,neither
toward,nobody
towards,none
under,no one
underneath,nothing
unlike,one
until,other
up,others
upon,several
versus,some
via,somebody
with,someone
within,something
without,such
been,such
a,that
an,these
the,this
are,those
am,what
have,whatever
absolutely,which
,whichever
,who
,whoever
,whom
,whomever
,whose
,as
,that
,what
,whatever
,which
,whichever
,who
,whoever
,whom
,whomever
,whose
,thou
,thee
,thy
,thine
,ye
,ll
,another
,any
,anybody
,anyone
,anything
,as
,aught
,both
,each
,each other
,either
,enough
,everybody
,everyone
,everything
,few
,he
,her
,hers
,herself
,him
,himself
,his
,I
,idem
,it
,its
,itself
,many
,me
,mine
,most
,my
,myself
,naught
,neither
,no one
,nobody
,none
,nothing
,nought
,one
,one another
,other
,others
,ought
,our
,ours
,ourself
,ourselves
,several
,she
,some
,somebody
,someone
,something
,somewhat
,such
,suchlike
,that
,thee
,their
,theirs
,theirself
,theirselves
,them
,themself
,themselves
,there
,these
,they
,thine
,this
,those
,thou
,thy
,thyself
,us
,we
,what
,whatever
,whatnot
,whatsoever
,whence
,where
,whereby
,wherefrom
,wherein
,whereinto
,whereof
,whereon
,wherever
,wheresoever
,whereto
,whereunto
,wherewith
,wherewithal
,whether
,which
,whichever
,whichsoever
,who
,whoever
,whom
,whomever
,whomso
,whomsoever
,whose
,whosever
,whosesoever
,whoso
,whosoever
,ye
,yon
,yonder
,you
,your
,yours
,yourself
,yourselves
,i
,am
,you